id,name,email,email_verified_at,password,remember_token,current_team_id,profile_photo_path,created_at,updated_at,two_factor_secret,two_factor_recovery_codes,two_factor_confirmed_at
1,Aurora Guerra,fvilla@example.net,2024-10-11 10:20:13,$2y$12$vaCuMmgxlVzxylJbwvMPgOv9w9omBto9Tw2Uqh8y14oCvgFjZY/re,nf4edwNpHB,,john_lennon.png,2024-10-11 10:20:14,2024-10-11 10:20:14,,,
2,Lic. Luis Santamaría,naiara.requena@example.net,2024-10-11 10:20:14,$2y$12$vaCuMmgxlVzxylJbwvMPgOv9w9omBto9Tw2Uqh8y14oCvgFjZY/re,K0OsqlKz12,,default.png,2024-10-11 10:20:14,2024-10-11 10:20:14,,,
3,Asier Garibay,agosto.sofia@example.net,2024-10-11 10:20:14,$2y$12$vaCuMmgxlVzxylJbwvMPgOv9w9omBto9Tw2Uqh8y14oCvgFjZY/re,E9rYKXqupk,,john_lennon.png,2024-10-11 10:20:14,2024-10-11 10:20:14,,,
4,Lic. Jon Alanis Segundo,ocastro@example.net,2024-10-11 10:20:14,$2y$12$vaCuMmgxlVzxylJbwvMPgOv9w9omBto9Tw2Uqh8y14oCvgFjZY/re,WHkv02ek8x,,default.png,2024-10-11 10:20:14,2024-10-11 10:20:14,,,
5,Alejandro Matos Tercero,rodarte.veronica@example.com,2024-10-11 10:20:14,$2y$12$vaCuMmgxlVzxylJbwvMPgOv9w9omBto9Tw2Uqh8y14oCvgFjZY/re,DPNJagaynD,,john_lennon.png,2024-10-11 10:20:14,2024-10-11 10:20:14,,,
6,María Pilar García,erik.figueroa@example.org,2024-10-11 10:20:14,$2y$12$vaCuMmgxlVzxylJbwvMPgOv9w9omBto9Tw2Uqh8y14oCvgFjZY/re,8SXZ4FCMww,,default.png,2024-10-11 10:20:14,2024-10-11 10:20:14,,,
7,Cristian Olvera Segundo,archuleta.josemanuel@example.com,2024-10-11 10:20:14,$2y$12$vaCuMmgxlVzxylJbwvMPgOv9w9omBto9Tw2Uqh8y14oCvgFjZY/re,g6bvebduBf,,john_lennon.png,2024-10-11 10:20:14,2024-10-11 10:20:14,,,
8,Ainhoa Almaráz,snevarez@example.org,2024-10-11 10:20:14,$2y$12$vaCuMmgxlVzxylJbwvMPgOv9w9omBto9Tw2Uqh8y14oCvgFjZY/re,EPm5JTo7tq,,default.png,2024-10-11 10:20:14,2024-10-11 10:20:14,,,
9,Srta. Esther Arriaga,hprieto@example.com,2024-10-11 10:20:14,$2y$12$vaCuMmgxlVzxylJbwvMPgOv9w9omBto9Tw2Uqh8y14oCvgFjZY/re,75vAdgteuL,,john_lennon.png,2024-10-11 10:20:14,2024-10-11 10:20:14,,,
10,Ángel Sotelo Hijo,ruelas.fatima@example.net,2024-10-11 10:20:14,$2y$12$vaCuMmgxlVzxylJbwvMPgOv9w9omBto9Tw2Uqh8y14oCvgFjZY/re,wBHVVtL1UJ,,default.png,2024-10-11 10:20:14,2024-10-11 10:20:14,,,
11,Susan,susan@example.com,2024-10-11 10:20:15,$2y$12$4.krJAgaya6P4v3iyXsZierSxa.DsNAVvDplNLJc.ASoRrG0z2tNS,NucHyoIlne5WV1pLDkmKiKaUklJiQcRLPBrhdhne2NIcnt6UjOZpizB1rTvs,11,john_lennon.png,2024-10-11 10:20:15,2024-10-11 12:51:29,,,
